Verhardingsobject Guid,Datum,Inspecterende organisatie,Dwarsonvlakheid,Langsonvlakheid,Oneffenheden,Rafeling,Randschade,Scheurvorming,Voegvulling,Voegwijdte,Zetting,Opmerking
{00B3497E-B36B-4DDE-9D6C-1D1DA96D0488},2-3-2015,,G,,G,G,G,G,G,G,G,
{00B3497E-B36B-4DDE-9D6C-1D1DA96D0488},26-9-2017,,G,,G,G,G,G,G,G,G,
{00B3497E-B36B-4DDE-9D6C-1D1DA96D0488},5-2-2019,,G,,G,G,G,G,,,G,
{00C82BAD-718C-4C43-BE4D-A27DA630ABC2},16-3-2016,,G,,G,G,G,G,G,G,G,
{00C82BAD-718C-4C43-BE4D-A27DA630ABC2},7-6-2018,,G,,G,G,G,G,,,G,
{00D0A24E-4627-405B-A220-C994BDBD5FBE},10-4-2014,,G,,G,G,G,G,G,G,G,
{00D0A24E-4627-405B-A220-C994BDBD5FBE},20-6-2018,,G,,G,G,G,G,,,G,
{00D49D72-C02C-4B3A-9264-0A79CEEB818A},20-9-2016,,G,,G,G,G,G,G,G,G,
{00D49D72-C02C-4B3A-9264-0A79CEEB818A},30-5-2018,,G,,G,G,G,G,,,G,
{00D49D72-C02C-4B3A-9264-0A79CEEB818A},27-3-2019,,G,,G,G,G,G,,,G,
{00D8350A-7C25-4D78-A730-709F7D493D51},16-3-2016,,G,,G,G,E2,E1,G,G,G,
{00D8350A-7C25-4D78-A730-709F7D493D51},6-6-2018,,G,,G,G,E2,E2,,,G,
{00D991C9-AF0A-4AF2-8BF3-934EE7277ECE},20-9-2016,,G,,G,M1,G,L1,G,G,G,
{00D991C9-AF0A-4AF2-8BF3-934EE7277ECE},22-5-2018,,G,,G,G,G,G,,,G,
{00DCC816-49F2-444B-96F5-C02DF25D3827},24-4-2014,,G,,G,G,M1,M1,G,G,G,
{00DCC816-49F2-444B-96F5-C02DF25D3827},19-6-2018,,G,,G,G,E1,G,,,G,
{00DE3B99-0F2F-4262-A645-356D2F70E3FA},14-1-2015,,G,,G,G,G,G,G,G,G,
{00DE3B99-0F2F-4262-A645-356D2F70E3FA},26-9-2017,,G,,G,G,G,G,G,G,G,
{00DE3B99-0F2F-4262-A645-356D2F70E3FA},5-2-2019,,G,,G,G,G,G,,,G,
{00E81BB8-CF7C-4288-BEF0-B472FACB8389},25-6-2018,,G,,G,L1,G,L1,,,G,
{00EC20AD-109C-45A2-8A1D-B24BFE411623},8-6-2018,,G,,G,G,G,G,,,G,
{00F74009-356E-4400-A993-01A067C959F5},10-5-2016,,L2,,G,G,G,G,G,G,G,
{00F74009-356E-4400-A993-01A067C959F5},22-5-2018,,G,,G,G,M1,G,,,G,
{00F8C940-47A1-4E58-864D-7750F2C46CB2},2-2-2017,,G,,G,G,G,G,G,G,G,
{00F8C940-47A1-4E58-864D-7750F2C46CB2},20-3-2019,,G,,G,G,G,G,,,G,
{00FB4C46-5467-4332-8CAF-F5A236830622},20-9-2016,,L1,,G,L2,G,G,G,G,G,
{00FB4C46-5467-4332-8CAF-F5A236830622},7-6-2018,,G,,G,G,G,G,,,G,
{00FE3633-81A6-4933-A840-9AABDACFC3B4},3-8-2017,,G,,E1,E3,G,E1,,,G,Gaten
{00FE3633-81A6-4933-A840-9AABDACFC3B4},5-4-2019,,G,,E1,E3,G,E1,,,G,Vuil
{00FE4530-F1BB-4A15-B5F2-2371B92E3FF3},2-2-2015,,G,,G,G,E1,G,G,G,G,
{00FE4530-F1BB-4A15-B5F2-2371B92E3FF3},26-9-2017,,G,,G,G,E1,G,G,G,G,
{00FE4530-F1BB-4A15-B5F2-2371B92E3FF3},30-1-2019,,G,,G,G,G,G,,,G,
{00FED72F-1B65-44EB-8028-E1945F6E20AA},1-1-2014,,G,,G,G,G,G,G,G,G,
{00FED72F-1B65-44EB-8028-E1945F6E20AA},2-8-2017,,G,,G,G,G,G,,,G,
{00FED72F-1B65-44EB-8028-E1945F6E20AA},15-5-2019,,G,,G,G,G,G,,,G,
{00FF5F29-B7E8-4777-AE7D-D2BAB07FF496},7-8-2017,,G,,G,G,E1,E1,,,G,
{00FF5F29-B7E8-4777-AE7D-D2BAB07FF496},28-3-2019,,G,,G,M1,E1,E1,,,G,
{0100FA5F-C3EA-40D0-8132-39533197630D},30-5-2018,,G,,G,L1,G,G,G,G,,
